ngoId,fiscalYear,totalIncome,totalGrant,totalExpense,totalAssets,totalLiabilities,totalFundingGap,sourceOfFunds,majorFunders,ngoBudgetAllocation,ngoBudgetUtilization,auditReport,avgMonthlyExpenditure,avgMonthlyOverhead,longTermLoan,fulltimeEmployees,parttimeEmployees,employmentExpenses,fulltimeVolunteers,parttimeVolunteers,volunteerExpenses,consultants,consultantExpenses,occupancyExpenses,fundraisingExpenses
bb9cc713-daaa-35c3-a43a-741b63cf1c2f,2015,,,2037687,,,,,,,,,169807.25,,,,,,,,,,,,
310cc883-3069-3d19-bf4a-1fd755206930,2018,,,1910202,,,,,,,,,159183.5,,,,,,,,,,,,
77f48b11-7868-3726-9b69-62ea3e670d31,2015,,,1848553,,,,,,,,,154046.08333333334,,,,,,,,,,,,
dddf9efc-7ae6-3dad-bd87-a335ed74aaad,2015,,,15095575,,,,,,,,,1257964.5833333333,,,,,,,,,,,,
a0739c86-7fe0-395f-b7b0-d5f5989f7964,2018,,,10176199,,,,,,,,,848016.5833333334,,,,,,,,,,,,
5ca89ec9-9775-3911-b025-d54b5f57a23c,2015,,,6732997,,,,,,,,,561083.0833333334,,,,,,,,,,,,
8e02facf-7426-3843-b1b7-7f2dc7664eb1,2015,,,5924289,,,,,,,,,493690.75,,,,,,,,,,,,
14ba1dfd-24f2-32b2-9c53-7daa6ff08bbb,2018,,,126025578,,,,,,,,,10502131.5,,,,,,,,,,,,
47df7f91-38e1-32e4-910e-a6a31c435838,2018,,,3467905,,,,,,,,,288992.0833333333,,,,,,,,,,,,
6e60566b-176a-35ca-9a82-ad271e0b3333,2015,,,-25546,,,,,,,,,-2128.8333333333335,,,,,,,,,,,,
bc7b0450-8e40-30e8-8109-6630545a3a3e,2020,,,340945,,,,,,,,,28412.083333333332,,,,,,,,,,,,
0ef5a447-1931-305d-8241-c1e9793997e6,2016,,,3805231,,,,,,,,,317102.5833333333,,,,,,,,,,,,
d1a2313a-e3dc-36df-85d9-db477e81b43a,2018,,,407693,,,,,,,,,33974.416666666664,,,,,,,,,,,,
ad36a478-3ac5-3d07-8249-86920ece3800,2018,,,4815036,,,,,,,,,401253.0,,,,,,,,,,,,
ce403ca8-ea04-3c17-b2e2-9be33b104e02,2014,,,12402097,,,,,,,,,1033508.0833333334,,,,,,,,,,,,
3227f170-54c4-3e15-852d-154e12678169,2015,,,27751095,,,,,,,,,2312591.25,,,,,,,,,,,,
865c2170-a4b9-3f33-a591-4344c7318437,2015,,,565103,,,,,,,,,47091.916666666664,,,,,,,,,,,,
18f24b8b-e0b4-3851-92d1-542bd3c5d482,2015,,,68892755,,,,,,,,,5741062.916666667,,,,,,,,,,,,
c5e1db10-6e27-3d69-a8ff-cc612a7faaf7,2015,,,3398476,,,,,,,,,283206.3333333333,,,,,,,,,,,,
20b28c1c-474e-34e0-9f07-bf3df03b1828,2014,,,6147927,,,,,,,,,512327.25,,,,,,,,,,,,
c54056e9-c516-3d81-8937-e2b0e683cba3,2020,,,75971,,,,,,,,,6330.916666666667,,,,,,,,,,,,
48bc2456-93f6-393e-a8bd-7091ca2baba6,2018,,,182823151,,,,,,,,,15235262.583333334,,,,,,,,,,,,
b4fa464f-e3fc-3e81-b3cf-c0829dd2788b,2016,,,1545598,,,,,,,,,128799.83333333333,,,,,,,,,,,,
14b18baf-48da-3e4d-8e32-11373af0bcc7,2015,,,9588207,,,,,,,,,799017.25,,,,,,,,,,,,
afe2a4ec-e244-3ce0-a67e-bd6e65b9c0f1,2016,,,1343079,,,,,,,,,111923.25,,,,,,,,,,,,
66edd7be-ad0e-3beb-a42c-893b80945208,2018,,,62721952,,,,,,,,,5226829.333333333,,,,,,,,,,,,
0dc4ee60-948b-35d6-9d96-461a831988de,2018,,,239907634,,,,,,,,,19992302.833333332,,,,,,,,,,,,
38e0108e-582e-36bc-af75-fdaed2f79f42,2018,,,224670,,,,,,,,,18722.5,,,,,,,,,,,,
18228db4-f08c-3207-bde2-4883acf00778,2015,,,3145456,,,,,,,,,262121.33333333334,,,,,,,,,,,,
88025d83-b84e-3904-be70-6703bc85c6f0,2020,,,-2701869,,,,,,,,,-225155.75,,,,,,,,,,,,
1bb20c91-b8b1-37f6-8ffa-62bcfe577472,2015,,,32064233,,,,,,,,,2672019.4166666665,,,,,,,,,,,,
647aaf70-64b0-3d8e-a23a-2d1e29fa5525,2015,,,97739,,,,,,,,,8144.916666666667,,,,,,,,,,,,
62c8f2b1-e332-37dd-b621-44eaf36e6f4e,2015,,,31860082,,,,,,,,,2655006.8333333335,,,,,,,,,,,,
1dda0f98-ddc8-30bf-97d9-a20b3a7ed030,2015,,,5006324,,,,,,,,,417193.6666666667,,,,,,,,,,,,
290f4c6b-4d87-31f7-97c1-9ae978c00102,2015,,,1185570,,,,,,,,,98797.5,,,,,,,,,,,,
2b3f997c-cd48-3eb6-9507-4ae4e3a9b3d1,2016,,,756748144,,,,,,,,,63062345.333333336,,,,,,,,,,,,
51af92a2-93d8-327f-93c8-aef193e2067e,2015,,,6144653,,,,,,,,,512054.4166666667,,,,,,,,,,,,
81da41f6-976f-33f1-aa6f-ec3e7b90b1f3,2013,,,40786137,,,,,,,,,3398844.75,,,,,,,,,,,,
ae14f0fd-1d0b-3f46-bc06-6c5c5f4ebe59,2013,,,506351,,,,,,,,,42195.916666666664,,,,,,,,,,,,
7318ad4e-e271-3ae5-b30a-e172c76aa48c,2016,,,246821,,,,,,,,,20568.416666666668,,,,,,,,,,,,
16b64825-0940-3f32-9541-56a0becc5790,2020,,,1498420,,,,,,,,,124868.33333333333,,,,,,,,,,,,
6ff8e606-aed8-37a9-ba2d-f056a1badbfb,2018,,,46282799,,,,,,,,,3856899.9166666665,,,,,,,,,,,,
a46a6dc3-4621-3054-9890-69c61a446de4,2020,,,106647936,,,,,,,,,8887328.0,,,,,,,,,,,,
30aac3eb-0561-32f1-b0a2-e556bd9c2c56,2020,,,688143935,,,,,,,,,57345327.916666664,,,,,,,,,,,,
a8800b94-fdf0-38e0-b027-42c581519ee4,2015,,,5005456,,,,,,,,,417121.3333333333,,,,,,,,,,,,
e0cc6c10-21d8-31f7-9fb5-ae838fb47653,2015,,,1328629,,,,,,,,,110719.08333333333,,,,,,,,,,,,
47db1c8c-b5be-375b-8e72-be3b48fc2a6d,2018,,,14239099,,,,,,,,,1186591.5833333333,,,,,,,,,,,,
086ddd4f-1cb4-30a7-b8ce-56ea5ebe1286,,,,0,,,,,,,,,0.0,,,,,,,,,,,,
086ddd4f-1cb4-30a7-b8ce-56ea5ebe1286,,,,0,,,,,,,,,0.0,,,,,,,,,,,,
086ddd4f-1cb4-30a7-b8ce-56ea5ebe1286,,,,0,,,,,,,,,0.0,,,,,,,,,,,,
086ddd4f-1cb4-30a7-b8ce-56ea5ebe1286,,,,0,,,,,,,,,0.0,,,,,,,,,,,,
086ddd4f-1cb4-30a7-b8ce-56ea5ebe1286,,,,0,,,,,,,,,0.0,,,,,,,,,,,,
cd471366-1df6-3500-b618-6fff09f3b99c,2015,,,1240060,,,,,,,,,103338.33333333333,,,,,,,,,,,,
05fe2b12-b204-3456-830f-277ea2f9305f,2020,,,73732172,,,,,,,,,6144347.666666667,,,,,,,,,,,,
fdfe4a11-afea-3378-b751-98f1c275414a,2015,,,12365007,,,,,,,,,1030417.25,,,,,,,,,,,,
086ddd4f-1cb4-30a7-b8ce-56ea5ebe1286,,,,0,,,,,,,,,0.0,,,,,,,,,,,,
565dacb5-77ea-3963-bcc5-b9dd9c6c03f8,2018,,,8708694,,,,,,,,,725724.5,,,,,,,,,,,,
3b9a14fe-a4a3-37e9-b9d3-99c215c2b516,,,,0,,,,,,,,,0.0,,,,,,,,,,,,
25d08023-0f1c-396f-b1c8-ecc6ad925379,2013,,,197489,,,,,,,,,16457.416666666668,,,,,,,,,,,,
5df50373-7b43-3dcb-abc3-286f6a084866,2020,,,965861,,,,,,,,,80488.41666666667,,,,,,,,,,,,
4b9433e9-1766-31cc-8a4b-bf088bf14667,,,,0,,,,,,,,,0.0,,,,,,,,,,,,
a3a9046f-f10b-320b-b27a-4f394a8c3778,2015,,,138915946,,,,,,,,,11576328.833333334,,,,,,,,,,,,
981816ea-bce4-3554-b18c-3a3161ebad05,2012,,,101293,,,,,,,,,8441.083333333334,,,,,,,,,,,,
bb1f3550-7911-3d0e-a1a0-67dc046e2888,2019,,,2951945,,,,,,,,,245995.41666666666,,,,,,,,,,,,
f991cc86-0739-3a59-aec6-23bd600200a1,2012,,,0,,,,,,,,,0.0,,,,,,,,,,,,
7f60e68d-cad5-3575-8ec3-9eeaaadaa96b,2019,,,4345900,,,,,,,,,362158.3333333333,,,,,,,,,,,,
fdcc2c31-d944-329b-8fab-b92a8f4759eb,2015,,,2344490,,,,,,,,,195374.16666666666,,,,,,,,,,,,
4886e17b-abc4-3cfc-a212-21a8e06cfeec,2019,,,33804162,,,,,,,,,2817013.5,,,,,,,,,,,,
bffe5ed6-af17-3bc5-9f9c-ad0c61fe3a4d,2015,,,10795188,,,,,,,,,899599.0,,,,,,,,,,,,
c35a2612-78a3-3376-ac0c-32f9fe5b58f1,2018,,,1411623,,,,,,,,,117635.25,,,,,,,,,,,,
9ab47302-441b-3ad4-85d5-44e8b4cbe8ae,2016,,,2531838,,,,,,,,,210986.5,,,,,,,,,,,,
ee4409a4-85a4-3dba-8df5-fd14baaecce4,2018,,,43806686,,,,,,,,,3650557.1666666665,,,,,,,,,,,,
